,r,d,t,x,y,z
0,1.0,1.0,70,0.3420201433256688,0,0.9396926207859083
1,1.0,1.0,75,0.25881904510252074,0,0.9659258262890683
2,1.0,1.0,80,0.17364817766693041,0,0.984807753012208
3,1.0,1.0,85,0.08715574274765812,0,0.9961946980917455
4,1.0,1.0,90,6.123233995736766e-17,0,1.0
5,1.0,1.0,95,-0.08715574274765824,0,0.9961946980917455
6,1.0,1.0,100,-0.1736481776669303,0,0.984807753012208
7,1.0,1.0,105,-0.25881904510252085,0,0.9659258262890683
8,1.0,1.0,110,-0.3420201433256687,0,0.9396926207859084
9,1.0,1.0,115,-0.42261826174069933,0,0.90630778703665
10,1.0,1.0,120,-0.4999999999999998,0,0.8660254037844388
11,1.0,1.2,70,0.41042417199080256,0,1.12763114494309
12,1.0,1.2,75,0.3105828541230249,0,1.159110991546882
13,1.0,1.2,80,0.20837781320031648,0,1.1817693036146495
14,1.0,1.2,85,0.10458689129718975,0,1.1954336377100947
15,1.0,1.2,90,7.347880794884119e-17,0,1.2
16,1.0,1.2,95,-0.10458689129718989,0,1.1954336377100947
17,1.0,1.2,100,-0.20837781320031637,0,1.1817693036146495
18,1.0,1.2,105,-0.310582854123025,0,1.159110991546882
19,1.0,1.2,110,-0.41042417199080244,0,1.12763114494309
20,1.0,1.2,115,-0.5071419140888391,0,1.08756934444398
21,1.0,1.2,120,-0.5999999999999998,0,1.0392304845413265
22,1.0,1.4,70,0.47882820065593634,0,1.3155696691002716
23,1.0,1.4,75,0.36234666314352904,0,1.3522961568046956
24,1.0,1.4,80,0.24310744873370257,0,1.378730854217091
25,1.0,1.4,85,0.12201803984672137,0,1.3946725773284436
26,1.0,1.4,90,8.572527594031472e-17,0,1.4
27,1.0,1.4,95,-0.12201803984672152,0,1.3946725773284436
28,1.0,1.4,100,-0.2431074487337024,0,1.378730854217091
29,1.0,1.4,105,-0.36234666314352915,0,1.3522961568046956
30,1.0,1.4,110,-0.4788282006559362,0,1.3155696691002716
31,1.0,1.4,115,-0.591665566436979,0,1.26883090185131
32,1.0,1.4,120,-0.6999999999999996,0,1.2124355652982142
33,1.0,1.5999999999999999,70,0.5472322293210701,0,1.5035081932574532
34,1.0,1.5999999999999999,75,0.4141104721640331,0,1.5454813220625092
35,1.0,1.5999999999999999,80,0.27783708426708864,0,1.5756924048195327
36,1.0,1.5999999999999999,85,0.13944918839625298,0,1.5939115169467928
37,1.0,1.5999999999999999,90,9.797174393178825e-17,0,1.5999999999999999
38,1.0,1.5999999999999999,95,-0.13944918839625317,0,1.5939115169467928
39,1.0,1.5999999999999999,100,-0.2778370842670885,0,1.5756924048195327
40,1.0,1.5999999999999999,105,-0.41411047216403335,0,1.5454813220625092
41,1.0,1.5999999999999999,110,-0.5472322293210699,0,1.5035081932574534
42,1.0,1.5999999999999999,115,-0.6761892187851188,0,1.45009245925864
43,1.0,1.5999999999999999,120,-0.7999999999999996,0,1.385640646055102
44,1.0,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
45,1.0,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
46,1.0,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
47,1.0,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
48,1.0,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
49,1.0,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
50,1.0,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
51,1.0,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
52,1.0,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
53,1.0,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
54,1.0,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
55,1.0,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
56,1.0,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
57,1.0,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
58,1.0,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
59,1.0,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
60,1.0,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
61,1.0,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
62,1.0,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
63,1.0,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
64,1.0,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
65,1.0,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
66,1.2,1.2,70,0.41042417199080256,0,1.12763114494309
67,1.2,1.2,75,0.3105828541230249,0,1.159110991546882
68,1.2,1.2,80,0.20837781320031648,0,1.1817693036146495
69,1.2,1.2,85,0.10458689129718975,0,1.1954336377100947
70,1.2,1.2,90,7.347880794884119e-17,0,1.2
71,1.2,1.2,95,-0.10458689129718989,0,1.1954336377100947
72,1.2,1.2,100,-0.20837781320031637,0,1.1817693036146495
73,1.2,1.2,105,-0.310582854123025,0,1.159110991546882
74,1.2,1.2,110,-0.41042417199080244,0,1.12763114494309
75,1.2,1.2,115,-0.5071419140888391,0,1.08756934444398
76,1.2,1.2,120,-0.5999999999999998,0,1.0392304845413265
77,1.2,1.4,70,0.47882820065593634,0,1.3155696691002716
78,1.2,1.4,75,0.36234666314352904,0,1.3522961568046956
79,1.2,1.4,80,0.24310744873370257,0,1.378730854217091
80,1.2,1.4,85,0.12201803984672137,0,1.3946725773284436
81,1.2,1.4,90,8.572527594031472e-17,0,1.4
82,1.2,1.4,95,-0.12201803984672152,0,1.3946725773284436
83,1.2,1.4,100,-0.2431074487337024,0,1.378730854217091
84,1.2,1.4,105,-0.36234666314352915,0,1.3522961568046956
85,1.2,1.4,110,-0.4788282006559362,0,1.3155696691002716
86,1.2,1.4,115,-0.591665566436979,0,1.26883090185131
87,1.2,1.4,120,-0.6999999999999996,0,1.2124355652982142
88,1.2,1.5999999999999999,70,0.5472322293210701,0,1.5035081932574532
89,1.2,1.5999999999999999,75,0.4141104721640331,0,1.5454813220625092
90,1.2,1.5999999999999999,80,0.27783708426708864,0,1.5756924048195327
91,1.2,1.5999999999999999,85,0.13944918839625298,0,1.5939115169467928
92,1.2,1.5999999999999999,90,9.797174393178825e-17,0,1.5999999999999999
93,1.2,1.5999999999999999,95,-0.13944918839625317,0,1.5939115169467928
94,1.2,1.5999999999999999,100,-0.2778370842670885,0,1.5756924048195327
95,1.2,1.5999999999999999,105,-0.41411047216403335,0,1.5454813220625092
96,1.2,1.5999999999999999,110,-0.5472322293210699,0,1.5035081932574534
97,1.2,1.5999999999999999,115,-0.6761892187851188,0,1.45009245925864
98,1.2,1.5999999999999999,120,-0.7999999999999996,0,1.385640646055102
99,1.2,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
100,1.2,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
101,1.2,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
102,1.2,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
103,1.2,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
104,1.2,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
105,1.2,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
106,1.2,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
107,1.2,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
108,1.2,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
109,1.2,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
110,1.2,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
111,1.2,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
112,1.2,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
113,1.2,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
114,1.2,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
115,1.2,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
116,1.2,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
117,1.2,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
118,1.2,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
119,1.2,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
120,1.2,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
121,1.2,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
122,1.2,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
123,1.2,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
124,1.2,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
125,1.2,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
126,1.2,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
127,1.2,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
128,1.2,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
129,1.2,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
130,1.2,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
131,1.2,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
132,1.4,1.4,70,0.47882820065593634,0,1.3155696691002716
133,1.4,1.4,75,0.36234666314352904,0,1.3522961568046956
134,1.4,1.4,80,0.24310744873370257,0,1.378730854217091
135,1.4,1.4,85,0.12201803984672137,0,1.3946725773284436
136,1.4,1.4,90,8.572527594031472e-17,0,1.4
137,1.4,1.4,95,-0.12201803984672152,0,1.3946725773284436
138,1.4,1.4,100,-0.2431074487337024,0,1.378730854217091
139,1.4,1.4,105,-0.36234666314352915,0,1.3522961568046956
140,1.4,1.4,110,-0.4788282006559362,0,1.3155696691002716
141,1.4,1.4,115,-0.591665566436979,0,1.26883090185131
142,1.4,1.4,120,-0.6999999999999996,0,1.2124355652982142
143,1.4,1.5999999999999999,70,0.5472322293210701,0,1.5035081932574532
144,1.4,1.5999999999999999,75,0.4141104721640331,0,1.5454813220625092
145,1.4,1.5999999999999999,80,0.27783708426708864,0,1.5756924048195327
146,1.4,1.5999999999999999,85,0.13944918839625298,0,1.5939115169467928
147,1.4,1.5999999999999999,90,9.797174393178825e-17,0,1.5999999999999999
148,1.4,1.5999999999999999,95,-0.13944918839625317,0,1.5939115169467928
149,1.4,1.5999999999999999,100,-0.2778370842670885,0,1.5756924048195327
150,1.4,1.5999999999999999,105,-0.41411047216403335,0,1.5454813220625092
151,1.4,1.5999999999999999,110,-0.5472322293210699,0,1.5035081932574534
152,1.4,1.5999999999999999,115,-0.6761892187851188,0,1.45009245925864
153,1.4,1.5999999999999999,120,-0.7999999999999996,0,1.385640646055102
154,1.4,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
155,1.4,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
156,1.4,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
157,1.4,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
158,1.4,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
159,1.4,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
160,1.4,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
161,1.4,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
162,1.4,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
163,1.4,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
164,1.4,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
165,1.4,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
166,1.4,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
167,1.4,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
168,1.4,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
169,1.4,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
170,1.4,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
171,1.4,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
172,1.4,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
173,1.4,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
174,1.4,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
175,1.4,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
176,1.4,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
177,1.4,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
178,1.4,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
179,1.4,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
180,1.4,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
181,1.4,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
182,1.4,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
183,1.4,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
184,1.4,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
185,1.4,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
186,1.4,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
187,1.4,2.3999999999999995,70,0.820848343981605,0,2.2552622898861796
188,1.4,2.3999999999999995,75,0.6211657082460497,0,2.3182219830937636
189,1.4,2.3999999999999995,80,0.4167556264006329,0,2.3635386072292985
190,1.4,2.3999999999999995,85,0.20917378259437946,0,2.390867275420189
191,1.4,2.3999999999999995,90,1.4695761589768236e-16,0,2.3999999999999995
192,1.4,2.3999999999999995,95,-0.20917378259437971,0,2.390867275420189
193,1.4,2.3999999999999995,100,-0.41675562640063263,0,2.3635386072292985
194,1.4,2.3999999999999995,105,-0.6211657082460499,0,2.3182219830937636
195,1.4,2.3999999999999995,110,-0.8208483439816048,0,2.2552622898861796
196,1.4,2.3999999999999995,115,-1.0142838281776783,0,2.1751386888879596
197,1.4,2.3999999999999995,120,-1.1999999999999993,0,2.0784609690826525
198,1.5999999999999999,1.5999999999999999,70,0.5472322293210701,0,1.5035081932574532
199,1.5999999999999999,1.5999999999999999,75,0.4141104721640331,0,1.5454813220625092
200,1.5999999999999999,1.5999999999999999,80,0.27783708426708864,0,1.5756924048195327
201,1.5999999999999999,1.5999999999999999,85,0.13944918839625298,0,1.5939115169467928
202,1.5999999999999999,1.5999999999999999,90,9.797174393178825e-17,0,1.5999999999999999
203,1.5999999999999999,1.5999999999999999,95,-0.13944918839625317,0,1.5939115169467928
204,1.5999999999999999,1.5999999999999999,100,-0.2778370842670885,0,1.5756924048195327
205,1.5999999999999999,1.5999999999999999,105,-0.41411047216403335,0,1.5454813220625092
206,1.5999999999999999,1.5999999999999999,110,-0.5472322293210699,0,1.5035081932574534
207,1.5999999999999999,1.5999999999999999,115,-0.6761892187851188,0,1.45009245925864
208,1.5999999999999999,1.5999999999999999,120,-0.7999999999999996,0,1.385640646055102
209,1.5999999999999999,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
210,1.5999999999999999,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
211,1.5999999999999999,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
212,1.5999999999999999,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
213,1.5999999999999999,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
214,1.5999999999999999,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
215,1.5999999999999999,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
216,1.5999999999999999,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
217,1.5999999999999999,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
218,1.5999999999999999,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
219,1.5999999999999999,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
220,1.5999999999999999,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
221,1.5999999999999999,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
222,1.5999999999999999,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
223,1.5999999999999999,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
224,1.5999999999999999,1.9999999999999998,90,1.224646799147353e-16,0,1.9999999999999998
225,1.5999999999999999,1.9999999999999998,95,-0.17431148549531644,0,1.9923893961834909
226,1.5999999999999999,1.9999999999999998,100,-0.34729635533386055,0,1.9696155060244158
227,1.5999999999999999,1.9999999999999998,105,-0.5176380902050416,0,1.9318516525781364
228,1.5999999999999999,1.9999999999999998,110,-0.6840402866513373,0,1.8793852415718166
229,1.5999999999999999,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
230,1.5999999999999999,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
231,1.5999999999999999,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
232,1.5999999999999999,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
233,1.5999999999999999,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
234,1.5999999999999999,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
235,1.5999999999999999,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
236,1.5999999999999999,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
237,1.5999999999999999,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
238,1.5999999999999999,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
239,1.5999999999999999,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
240,1.5999999999999999,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
241,1.5999999999999999,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
242,1.5999999999999999,2.3999999999999995,70,0.820848343981605,0,2.2552622898861796
243,1.5999999999999999,2.3999999999999995,75,0.6211657082460497,0,2.3182219830937636
244,1.5999999999999999,2.3999999999999995,80,0.4167556264006329,0,2.3635386072292985
245,1.5999999999999999,2.3999999999999995,85,0.20917378259437946,0,2.390867275420189
246,1.5999999999999999,2.3999999999999995,90,1.4695761589768236e-16,0,2.3999999999999995
247,1.5999999999999999,2.3999999999999995,95,-0.20917378259437971,0,2.390867275420189
248,1.5999999999999999,2.3999999999999995,100,-0.41675562640063263,0,2.3635386072292985
249,1.5999999999999999,2.3999999999999995,105,-0.6211657082460499,0,2.3182219830937636
250,1.5999999999999999,2.3999999999999995,110,-0.8208483439816048,0,2.2552622898861796
251,1.5999999999999999,2.3999999999999995,115,-1.0142838281776783,0,2.1751386888879596
252,1.5999999999999999,2.3999999999999995,120,-1.1999999999999993,0,2.0784609690826525
253,1.5999999999999999,2.5999999999999996,70,0.8892523726467388,0,2.443200814043361
254,1.5999999999999999,2.5999999999999996,75,0.6729295172665538,0,2.5114071483515774
255,1.5999999999999999,2.5999999999999996,80,0.451485261934019,0,2.5605001578317403
256,1.5999999999999999,2.5999999999999996,85,0.2266049311439111,0,2.590106215038538
257,1.5999999999999999,2.5999999999999996,90,1.5920408388915588e-16,0,2.5999999999999996
258,1.5999999999999999,2.5999999999999996,95,-0.2266049311439114,0,2.590106215038538
259,1.5999999999999999,2.5999999999999996,100,-0.4514852619340187,0,2.5605001578317403
260,1.5999999999999999,2.5999999999999996,105,-0.6729295172665541,0,2.5114071483515774
261,1.5999999999999999,2.5999999999999996,110,-0.8892523726467385,0,2.4432008140433616
262,1.5999999999999999,2.5999999999999996,115,-1.0988074805258181,0,2.3564002462952898
263,1.5999999999999999,2.5999999999999996,120,-1.2999999999999992,0,2.2516660498395407
264,1.7999999999999998,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
265,1.7999999999999998,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
266,1.7999999999999998,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
267,1.7999999999999998,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
268,1.7999999999999998,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
269,1.7999999999999998,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
270,1.7999999999999998,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
271,1.7999999999999998,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
272,1.7999999999999998,1.7999999999999998,110,-0.6156362579862036,0,1.691446717414635
273,1.7999999999999998,1.7999999999999998,115,-0.7607128711332587,0,1.63135401666597
274,1.7999999999999998,1.7999999999999998,120,-0.8999999999999995,0,1.5588457268119897
275,1.7999999999999998,1.9999999999999998,70,0.6840402866513375,0,1.8793852415718164
276,1.7999999999999998,1.9999999999999998,75,0.5176380902050414,0,1.9318516525781364
277,1.7999999999999998,1.9999999999999998,80,0.3472963553338608,0,1.9696155060244158
278,1.7999999999999998,1.9999999999999998,85,0.17431148549531622,0,1.9923893961834909
